Original_Name,New_Name,Duplicate,Read_Number,Concentration,Cruise,Use,Sed_or_Mus,Type,Depth_in_Meters,Lake,Month_Collected,Mussel_Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,GPS_N _degrees,GPS_N _minutes,GPS_W_degrees,GPS_W_minutes
110B1.S115,110.B1.115,110.B.115,10055,2.42,Transect,Sample,Sediment,Sediment,110,Michigan,October,,,,black mud,43,12.021,-86,34.235
110B2.S115,110.B2.115,110.B.115,10819,3.28,Transect,Sample,Sediment,Sediment,110,Michigan,October,,,,black mud,43,12.021,-86,34.235
M15B1.S115,M15.B1.115,M15.B.115,7424,4.24,Transect,Sample,Sediment,Sediment,15,Michigan,October,,,,sand,43,11.311,-86,20.671
M15B2.S115,M15.B2.115,M15.B.115,7408,4.73,Transect,Sample,Sediment,Sediment,15,Michigan,October,,,,sand,43,11.311,-86,20.671
M45B1.S115,M45.B1.115,M45.B.115,6990,2.57,Transect,Sample,Sediment,Sediment,45,Michigan,October,,,,clay,43,12.479,-86,26.946
M45B2.S115,M45.B2.115,M45.B.115,7231,3.56,Transect,Sample,Sediment,Sediment,45,Michigan,October,,,,clay,43,12.479,-86,26.946
MLBB1.S115,MLB.B1.115,MLB.B.115,7875,7.73,Transect,Sample,Sediment,Sediment,10,Muskegon,October,,,,black mud,43,14.211,-86,16.797
MLBB2.S115,MLB.B2.115,MLB.B.115,8896,5.81,Transect,Sample,Sediment,Sediment,10,Muskegon,October,,,,black mud,43,14.211,-86,16.797
110B1.S915,110.B1.915,110.B.915,10368,4.31,Transect,Sample,Sediment,Sediment,110,Michigan,September,,,,black mud,N/A,N/A,N/A,N/A
110B2.S915,110.B2.915,110.B.915,11181,2.4,Transect,Sample,Sediment,Sediment,110,Michigan,September,,,,black mud,N/A,N/A,N/A,N/A
M15B1.S915,M15.B1.915,M15.B.915,7843,5.6,Transect,Sample,Sediment,Sediment,15,Michigan,September,,,,sand,,,,N/A
M15B2.S915,M15.B2.915,M15.B.915,7955,28.93,Transect,Sample,Sediment,Sediment,15,Michigan,September,,,,sand,N/A,N/A,N/A,N/A
M45B1.S915,M45.B1.915,M45.B.915,8945,3.86,Transect,Sample,Sediment,Sediment,45,Michigan,September,,,,clay,N/A,N/A,N/A,N/A
M45B2.S915,M45.B2.915,M45.B.915,7441,2.8,Transect,Sample,Sediment,Sediment,45,Michigan,September,,,,clay,,,,
MLBB1.S916,MLB.B1.915,MLB.B.915,9226,12.71,Transect,Sample,Sediment,Sediment,10,Muskegon,September,,,,black mud,N/A,N/A,N/A,N/A
MLBB2.S915,MLB.B2.915,MLB.B.915,9194,21.88,Transect,Sample,Sediment,Sediment,10,Muskegon,September,,,,black mud,N/A,N/A,N/A,N/A
Q11.L1.TS,Q11.L1.TS,Q11.L1.TS.TS,4496,63.54,Transect,Test,,,,,,,,,,44,41.3,-86,33.95
NFW.Blank,000.00.000,000.00.000,32.18,0.53,,Blank,,Blank,,,,,,,,,,,
FM45.SH,XXX.XX.XX2,XXX.XX.XX2,40.22,0.11,,Test,,,,,,,,,,,,,
FM45.TS,XXX.XX.XX3,XXX.XX.XX3,136.7,2.42,,Test,,,,,,,,,,,,,
FM45.ZM,XXX.XX.XX1,XXX.XX.XX1,24.13,0.52,,Test,,,,,,,,,,,,,
